Unnamed: 0,0,1,2,3,4,5,6,7
839,4.7,No tiene datos,Aleksandr Muratov,Vladimir Bragin,No tiene argumento,96,Udar Lotosa,tt0367182
840,5.2,No tiene datos,Pertti Huotari,"Pertti Huotari, Miika J. Norvanto, Joni Ruokamo",A group of barbarians travel through time to modern day Eastern Finland.,74,Barbaarit menneisyydestä,tt0367529
841,6.4,No tiene datos,Ziniu Wu,Zhiping Zhang,"The story is set in the mid-17th century, when most of China is conquered by the Manchu-led Qing dynasty after the collapse of the Ming dynasty. Ming remnants have fled south and established a Southern Ming regime based in Fujian.",101,Yingxiong Zheng Chengong,tt0368276
842,6.5,No tiene datos,Jamel Aattache,Kim Ho Kim,No tiene datos,No tiene datos,"The Good, the Bad & the Innocent",tt0368759
843,No tiene datos,No tiene datos,Marco Lutz,Chandro CapinBrett CarpentierJohn Cartwright,No tiene datos,45,Desired Effect,tt0369362
844,7.0,No tiene datos,Dharani,"Milan Barbhuiya, Bharathan","A young police aspirant gets into an altercation with a corrupt cop, who then proceeds to ruin his life and career prospects.",158,Dhill,tt0375705
845,7.6,No tiene datos,Bala,Bala,"Looking to put behind a past that haunts him, Nandha tries to reconcile with his mother and live life on his terms.",165,Nandha,tt0375997
846,5.0,75,Suneil Anand,"Suneil Anand, Raajesh Johri","A modern day story of an innocent boy (Ravi) of Royal lineage who is sent to Hong Kong by his Father's conniving manager, Kailash Choudhary (K.C.) to train in the Martial Arts--the boy's passion. K.C. eliminates the boy's father and usurps his properties. Ravi is set up by K.C. who plants drugs in his baggage. As a result, Ravi is arrested and spends the next 12 years... Leer todo",152,Master,tt0382176
847,No tiene datos,No tiene datos,Enrique Murillo,Carlos Valdemar,No tiene argumento,90,El soplo de la muerte,tt0382984
848,8.6,No tiene datos,Christian González,Christian González,"Cholo moves to Mexico City from Tijuana to get a better life, however this takes a turn when he meets Jade.",90,El cholo,tt0383987
849,No tiene datos,No tiene datos,Daniela Alviani,Daniela Alviani,No tiene argumento,100,Zana,tt0385359
850,No tiene datos,No tiene datos,Julio Alemán,No tiene datos,No tiene argumento,90,La dama de la Texana 1000x,tt0387153
851,No tiene datos,No tiene datos,Guillermo Jaime Alarid,"Guillermo Jaime Alarid, Laura Rojas",No tiene argumento,75,Orquidea sangrienta,tt0386699
852,7.7,No tiene datos,Shin Misawa,Nobuaki Kishima,"More races and challenges for soon-to-be-graduate/drift racer Takumi Fujiwara. Of course, with all the bells and whistles of a big screen production.",100,Initial D: Third Stage,tt0388130
853,6.9,No tiene datos,Phil Gorn,Phil Gorn,"SF movingly explores the family conflicts, racial hatreds and gang loyalties that torment the lovers as they flee from the police and struggle to honorably resolve their plight.",76,Troy & Julie,tt0387555
854,No tiene datos,No tiene datos,Julio Aldama Jr.,No tiene datos,No tiene argumento,No tiene datos,Desafiando a la mafia,tt0388881
855,No tiene datos,No tiene datos,Roberto Flores,Antonio Rubio,No tiene datos,90,Las dos caras del señor,tt0393233
856,No tiene datos,No tiene datos,Julio Aldama Jr.,Julio Aldama Jr.,No tiene argumento,90,Tres fronteras,tt0393896
857,No tiene datos,No tiene datos,Manuel Ramirez,Everardo Licea,No tiene datos,90,Ya la barranca pario,tt0393985
858,No tiene datos,No tiene datos,José Medina,Everardo Licea,No tiene argumento,90,El árbol de la horca,tt0393995
859,No tiene datos,No tiene datos,José Medina,Carlos Valdemar,No tiene argumento,90,El agricultor,tt0393032
860,6.1,No tiene datos,Ricardo López de Lara,Tatiana CamachoDerik DeanRoberto 'Flaco' Guzmán,No tiene datos,90,3 metros bajo tierra,tt0393016
861,No tiene datos,No tiene datos,Aurora Martínez,Edna BolkanEleazar Garcia Jr.Arturo Martínez hijo,No tiene datos,90,Me gusta pegarle al polvo,tt0393460
862,No tiene datos,No tiene datos,Luis Estrada,Josué Guadalupe,No tiene argumento,90,Galleros de tierra caliente,tt0393313
863,No tiene datos,No tiene datos,Juan Carlos Martin,Juan Carlos Martin,No tiene argumento,90,Revolver cachas de oro,tt0393644
864,No tiene datos,No tiene datos,Roberto Flores,Roberto Flores,No tiene datos,90,Perros de pelea,tt0393588
865,No tiene datos,No tiene datos,Jorge Araujo,Jorge Araujo,No tiene argumento,90,El patrón,tt0393581
866,3.8,No tiene datos,Thampi Kannanthanam,Somesh AgarwalShama DeshpandeVikram Gokhale,No tiene datos,No tiene datos,Hadh: Life on the Edge of Death,tt0396044
867,No tiene datos,No tiene datos,Fernando Durán Rojas,Carlos Valdemar,No tiene argumento,No tiene datos,El rey de los coleaderos,tt0398293
868,6.4,No tiene datos,Pau Freixas,Pau Freixas,No tiene datos,85,Cactus,tt0400268
869,No tiene datos,No tiene datos,José Antonio Méndez,"Fabian Biel, Fernando Casanova, Chuy Cuellar",No tiene argumento,90,El ángel de mi guarda,tt0400963
870,6.0,No tiene datos,Kaiming Chen,"Li Wang, Lu Youkuan","The old master Wu De gives his powerful magic sword to his student Li Laoquan. He send another one of his students, Zhao Bantian, away because of his unethical attitude. Ethic is, according to Wu De, the foundation of all martial arts. 30 years later Zhao returns to the village. He seems friendly but in fact his primary goals are to make money and be powerful in every... Leer todo",85,Songshan xiao yao gu,tt0410921
871,5.3,No tiene datos,Ali Idris,Medhat El Adl,"Two friends working as announcers at cable network channel, competing.",No tiene datos,Ashab wala business,tt0421642
872,No tiene datos,No tiene datos,Ataru Oikawa,"Mutsumi Sakurakouji, Tatsuo Kanai, Takashi Taketsuka","Hagakure Makoto, young and cute, is trying to find a regular job to help support her family. She has no training in the real world, and she will meet with several corporate evils. But she was trained as a samurai by her grandfather, which will be useful to battle the evils of the world, including a bad samurai girl who is protected by an impenetrable net armor - with ... Leer todo",82,Samurai gâru 21,tt0427813
873,No tiene datos,No tiene datos,Christian González,Javier Durán,No tiene argumento,93,Chavos de la calle,tt0432785
874,No tiene datos,No tiene datos,Fernando Durán Rojas,"Fabian Paniagua, Ignacio Rinza",No tiene argumento,90,La caspa del diablo,tt0432778
875,5.0,No tiene datos,Joo-man Kim,Joo-man Kim,"Part time taxi driver and full time bum Ki-hoon lives one day at a time. His only wish is to live happily ever after with Hyun-hee. One day, Ki-hoon runs over a man while driving at dawn and it is only the beginning of his troubles. That same day, before the car accident, a corrupt businessman's mistress and her lover are hiding in a hotel room after having taken off ... Leer todo",102,Chilinui saebyeok,tt0434850
876,No tiene datos,No tiene datos,Manuel 'Fyke' Cinco,Henry Nadong,No tiene datos,No tiene datos,Kapag buhay ang inutang... buhay din ang kabayaran...,tt0436148
877,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt0446159
878,5.1,44,Singeetam Srinivasa Rao,"Mark Zaslove, Singeetam Srinivasa Rao, Sushma Ahuja","When a visiting researcher tries desperately to escape, after mistakenly captured by police for an alleged theft in a temple, bizarre things start happening.",126,Little John,tt0447257
879,4.9,No tiene datos,Kanji Wakabayashi,Nobuhisha Terado,"Set in the Shoryaku and Chotoku eras of Japan's Heian period, the animated short Kai Doh Maru is set against a background of a capital under threat from disease, outlaws, and political plots. The story reworks themes from Japanese folklore, focusing on the relationship between Sakata no Kintoki (Kintaro) and Minamoto no Raiko, one of the first military Minamoto and ""m... Leer todo",13,Kaidômaru,tt0446566
880,No tiene datos,No tiene datos,Leonardo Daniel,No tiene datos,No tiene datos,No tiene datos,Casi el infierno,tt0445273
881,5.2,No tiene datos,Çagan Irmak,Çagan Irmak,"Bahadir is a lone high school student who cannot communicate with anyone. One day, he takes a gun and goes to school, hopes that he can change the world in this way.",88,Bana Sans Dile,tt0449832
882,4.9,No tiene datos,T.L.V. Prasad,Miraq Mirza,"Rakesh Pandey belongs to a middle-class family, and is employed. One day when he is returning home from work, he is arrested by the police on the charge of killing a woman in cold-blood. He refutes and denies this charge, but to no avail, as the prosecution produces witness after witness that have actually seen him commit this heinous crime. Ultimately, the court conv... Leer todo",133,Bhairav,tt0466208
883,5.3,No tiene datos,Tony Tite,Tony Tite,"Determined to rid their neighborhood of the influences of gang violence, RoRo and Samuel organize the law-abiding citizens to reclaim their turf.",105,Black & Blue,tt0465920
884,4.4,No tiene datos,Yukio Fuji,Yoshihiro Ishimatsu,True story of a number of Imperial Japanese Army officers and soldiers who remained in Indonesia to fight off European colonists trying to retake the country after Japan's surrender.,122,Murudeka 17805,tt0471823
885,5.2,No tiene datos,Adarsh Jain,"Sandeep Bedi, Mithun Chakraborty, Roshini Jaffery","In caste and religion laden India there are some people who work together without any bias - they are underworld dons and gangster - and their prime motive is to amass as much money as possible. Rukavat Singh is one such gangster, who has two lieutenants - Sultan, and Vishwa Mohan. No one has dared to stand up against any of these three. Until Inspector Durga came alo... Leer todo",121,Bengal Tiger,tt0477574
886,4.2,No tiene datos,T.S. Mohan,Charan RajSathaar,No tiene datos,No tiene datos,Husn Ke Lootere,tt0482999
887,6.2,No tiene datos,Panna Rittikrai,Nappon GomarachunWipavee Waewtawan,No tiene datos,No tiene datos,Kon dib lhek nam pee,tt0498518
888,6.5,No tiene datos,Panna Rittikrai,"Tony Jaa, Paothai Pornpisit","A mysterious clan of assassins versed in traditional techniques of Muay Thai Boxing took control of the empire of Siam. Enslaved and humiliated, the people must rebel to preserve their freedom. A war with bare hands is preparing for peace. Freedom after their fists, certain death after the battle: only the mystical power of Muay Thai warriors will ensure their victory... Leer todo",88,Nuk leng klong yao,tt0498545
889,6.2,71,Gian D'Ornellas,Marie-Claude HamelRobert MammoneAndrée Lachapelle,No tiene datos,No tiene datos,Echo,tt0758660
890,No tiene datos,No tiene datos,José Medina,José Medina,No tiene argumento,90,Sotana roja,tt0773119
891,No tiene datos,No tiene datos,Jorge Araujo,"Gerardo Albarrán, Carmen del Valle, Rogelio Guerra",No tiene argumento,96,Emisario del odio,tt0772799
892,No tiene datos,No tiene datos,Irene Arcila,No tiene datos,No tiene datos,90,Carreras de muerte,tt0772749
893,No tiene datos,No tiene datos,Mineko Takeuchi,"Daiji Hattori, Seiichi Iguchi, Mineko Takeuchi",No tiene argumento,70,Kunoichi nimpoden: Mamono no yakata,tt0781047
894,7.1,No tiene datos,A.R. Murugadoss,A.R. Murugadoss,"Dheena works for his brother Adhikesavan, a gangster, and is very close to him. However, things turn sour between them after a misunderstanding leads to the death of their sister.",167,Dheena,tt0807944
895,No tiene datos,No tiene datos,José Luis Vera,Ignacio Rinza,No tiene datos,90,El rey de la mota,tt0809228
896,7.4,No tiene datos,Ryan E. Heppe,Ryan E. Heppe,No tiene datos,60,Gomer and Ed Turn Gay,tt0810397
897,6.4,No tiene datos,Tetsuo Imazawa,"Akiyoshi Hongo, Yasuko Kobayashi, Chiaki Konaka",The appearance of Mephistomon causes Bio-Merging of Digimon to happen all around the world and it's up to the Tamers to stop him.,51,Dejimon Teimâzu: Bôkensha tachi no tatakai,tt0810831
898,7.8,No tiene datos,Keiichi Hara,"Yoshito Usui, Keiichi Hara","Cuando una nueva amenaza hace que las mentes de los adultos de Kasukabe vuelvan a ser niños, Shinnosuke y sus amigos deben salvar a sus padres para que no queden atrapados en la nostalgia del siglo XX.",90,Shinchan ¡Los adultos contraatacan! La película,tt0831848
899,No tiene datos,No tiene datos,Agustín Bernal,Agustín Bernal,No tiene argumento,90,Malditos violadores,tt0845479
900,3.7,No tiene datos,Imraan Khan,"Miraq Mirza, Rekha Mistry, Asad Ajmeri","Arjun Poojari lives in a small village in Central India with his mom, dad, & an unmarried sister. The entire village is grateful to Bade Thakur Jagawar Choudhry for all the work he has done for the village. Then one day Arjun finds out that Jagawar's younger brother, Vikram, had attempted to molest his sister. He beats him and takes him to Jagawar, who slaps him sever... Leer todo",133,Arjun Devaa,tt0926187
901,5.5,No tiene datos,Vicky Ranawat,"Ishrat Ali, Sadashiv Amrapurkar, Rajesh Bakshi","Aslam Khan, Yogi Raj, David Gonsalves, Uttam Harma and Pritam Singh are five friends from completely different religious backgrounds, who live in a slum that is soon to be demolished by a local landlord, Dharamchand Karodimal. The only way they can prevent it's demolition is by paying him 2 Crore rupees, which they get from a gangster named Rudranarayan, who wants the... Leer todo",No tiene datos,Dal: The Gang,tt0934414
902,4.4,No tiene datos,Hamid Ali,Miraq Mirza,"Ajay Verma lives with his younger brother, Vishal and his wife, Maria, and an unmarried sister, Disha. He is in love with a Police Inspector by the name of Kiran, who he would like to marry someday. Their lives are disrupted when Disha tells them she has fallen in love with a young man named Rajesh Lingha. Ajay's inquiries show that Rajesh is an alcoholic and a womani... Leer todo",No tiene datos,Meri Adaalat,tt0934516
903,4.8,No tiene datos,Phillip Ko,Phillip Ko,A Hong Kong crime-thriller about rival factions fighting over a US $10million take.,No tiene datos,Ying xiong shen hua,tt0966598
904,7.2,No tiene datos,Yu Suzuki,Yu Suzuki,Follow Ryo Hazuki as he attempts to track down the man responsible for his father's death.,88,Shenmue: The Movie,tt0971215
905,No tiene datos,No tiene datos,Gen Takahashi,"Masashige Nakanishi, Gen Takahashi, Yo Fukaya","About a cursed and unfinished film ""Eyes in the Forest"" whose director wants to complete, 30 years after the fact, in order to raise the original actress from the dead by using the movie's sfx guy to create a receptacle for her spirit.",111,Lady Plastic,tt0981034
906,5.2,No tiene datos,Tirupati Swamy,"Vijayakanth, Isha Koppikar, Raghuvaran","Rasool Akhtar terrorises the nation when he plans to kidnap the chiefs of the defence services and execute them publicly. Narasimha, an honest police officer, tries to foil Rasool's plans.",139,Narasimha,tt10127868
907,No tiene datos,No tiene datos,Phillip Ko,K.P. Cheung,No tiene datos,No tiene datos,Ren she tou du,tt10133358
908,5.3,No tiene datos,Kanti Shah,Bashir Babar,No tiene datos,No tiene datos,Aaj Ka Gunda,tt1027799
909,6.8,No tiene datos,Kanti Shah,Ishrat AliHemant BirjeAmisha Desai,No tiene datos,No tiene datos,Galiyon Ka Badshah,tt1027814
910,5.4,No tiene datos,Kanti Shah,Bashir Babar,"Jagira is the story of those unfortunate people harassed by time and the society and above all the victims of the oppressors. But the law Keepers, the traitors instead of helping the victims made them the guilty. Whenever such injustice has been done on the face of the earth, then there is always the birth of a Jagira to answer them! Jagira shola & Ramkali effects of ... Leer todo",139,Jagira,tt1027821
911,7.2,No tiene datos,Saravana Subaiya,Vasundhara Das,"Antony assumes several identities and kidnaps three government officials in order to succeed in his secret mission. However, a CBI officer sets out to find the real identity of the kidnapper.",172,Citizen,tt1039952
912,3.8,No tiene datos,Esmael Barari,Mahmood Hassani,No tiene argumento,100,The Devil's Dance,tt10456236
913,7.6,No tiene datos,Kenji Kodama,Gôshô Aoyama,Multiple murders has been committed while the Black Organization members are roaming around Conan and his friends. Are they responsible for the killings? Or Is it someone else?,100,Meitantei Conan: Tengoku no countdown,tt1073223
914,No tiene datos,No tiene datos,Stefan Peczelt,"Stefan Peczelt, Elmar Weihsmann",No tiene argumento,97,Terror am Strand,tt10869110
915,4.9,No tiene datos,Wilson Tong,Hoi-Ching Cheung,No tiene argumento,91,Git suk geung see,tt1093394
916,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt1176141
917,4.3,No tiene datos,Ravi Raja,"Nagarjuna Akkineni, Mohammad Ali, Mohan Babu","Yogendra (Mohan Babu) is the son of Panduranga Rao (Vijayakumar), a High Court judge who got first rank in civil services examinations. Dunnapothula Janardhan Rao (Narra Venkateswara Rao), a politician, falsely implicates Yogi in a murder case to take revenge on Panduranga, who had earlier given a jail sentence to him in a corruption case. Panduranga gives the judgmen... Leer todo",151,Adhipathi,tt1212056
918,No tiene datos,No tiene datos,Marco von Moos,Marco von Moos,No tiene argumento,115,Turicon - The Legend of Sollthar,tt12171640
919,No tiene datos,No tiene datos,Po-Hang Tu,"Charlie Cho, Kuan-Chung Ku, Diana Pang",No tiene argumento,90,Lei ting han fei,tt12229456
920,No tiene datos,No tiene datos,Chotku Ahmed,Chotku Ahmed,The plot revolves around two young hearts falling in love. But their love faces trouble due to their differences in family status and by a conspirator.,150,Borsha Badol,tt12428812
921,4.6,No tiene datos,Inayat Mahshar,"Asad Ajmeri, Jaanam Khan","After the passing of her parents, Mumbai-based Neelam lives a poor lifestyle with her ailing maternal uncle, and is employed as a Typist with Suryakant Ahuja, who wants her for himself. When she refuses, he hires a pimp, Lallan, to coerce her, initially to no avail, but subsequently financial worries, to pay for medicines for her uncle and hospitalized boyfriend, Vikr... Leer todo",137,Boond,tt1259755
922,5.0,No tiene datos,Abhishek Chhadha,Tutu Sharma,"To seek justice for her parents who were killed by a bandit on her wedding day, a young woman rebels for revenge.",105,Mahaarani,tt1266136
923,No tiene datos,No tiene datos,M.M. Sarkar,Mostofa Soud,No tiene datos,142,Bager Baccha,tt12757130
924,6.6,No tiene datos,S.S. Rajamouli,"K. Raghavendra Rao, Pruthvi Raj",Aditya joins a law college as per his father's wishes though he wanted to be an engineer. He faces many problems while trying to reform the unruly students along with dealing with his terrifying past.,130,Student No. 1,tt1283956
925,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,Memoir Hokuriku Yakuza War,tt12838698
926,5.0,No tiene datos,Surinder Kapoor,"Hemant Birje, Dharmendra, Shakti Kapoor","Ganga is a young and beautiful girl. She is brutally raped by a a group of thugs that have terrorized her village. She pleads with the Goddess Durga, who empowers her with strength and a trident to exact her revenge, making her a hungry lion (bhooka sher).",109,Bhooka Sher,tt1291626
927,No tiene datos,No tiene datos,H.B. Singh,RaajbirKulwant Singh,No tiene datos,No tiene datos,Mein Hoon Pyassi Suhagan,tt1298582
928,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt13340076
929,No tiene datos,No tiene datos,Benjamín Escamilla Espinosa,"Benjamín Escamilla Espinosa, Félix Salgado Macedonio, Gabriel Vergara",No tiene argumento,85,Guerrero,tt13726924
930,7.4,No tiene datos,Ashok Pati,Bijaya MishraAshok Pati,No tiene datos,No tiene datos,Baazi,tt1431215
931,5.7,No tiene datos,Govind Tej,Bibhuti PatnaikDebasish TejGovind Tej,No tiene datos,No tiene datos,Gare Sindura Dhare Luha,tt1435504
932,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt1435487
933,4.6,No tiene datos,Sundar C.,Sundar C.,"Rishi is a tough, suave, professional thief who is the right-hand of Satyan, the underworld kingpin. On one of Rishi's missions, he happens to watch Minister Devara kill Hema, a TV reporter who is about to expose him. Before dying, Hema hands a floppy to Rishi. Rishi neither bothers about the floppy nor the murder, but Devaraj wants the floppy back",143,Rishi,tt1507347
934,7.4,No tiene datos,Shaji Kailas,Liaquat Ali,"Vaanchinathan, a straightforward policeman, is not allergic to exploiting the loopholes in the law to eliminate the criminals who have thus far not been punished by the judiciary.",163,Vaanchinathan,tt15145976
935,7.0,No tiene datos,Gopal B.,"Chinni Krishna, Paruchuri Venkateswara Rao, Gopalakrishna Paruchuri",Revenge story between two neighboring villages with one headed by a bad person and the other headed by a good person.,161,Narasimha Naidu,tt1575640
936,4.3,No tiene datos,Bharati Kannan,"Brahmanandam, Ramya Krishnan, Ramki",No tiene argumento,150,Sri Raja Rajeswari,tt1575684
937,7.0,No tiene datos,Nimmala Shankar,"Srihari, Sindhu Menon, Vijayachander",No tiene argumento,No tiene datos,Bhadrachalam,tt1579743
938,No tiene datos,No tiene datos,Bharathi,BrahmanandamKrishnaSuman,No tiene datos,No tiene datos,Dadagiri,tt1579752
939,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt1612776
940,4.7,No tiene datos,Udayshankar,"Palani Bharathi, Cinni Krishna, Udayshankar",A noble and just man makes the ultimate sacrifice after he imposes an unjust sentence on a male from a poor family.,165,Thavasi,tt1740549
941,5.3,No tiene datos,Ray Wai-Shing Wu,"Ricky Wong Ka-Kui, Ray Wai-Shing Wu","Shelly Wong creates a high concept video game that has big market potential, A Triad boss get s wind of it and hires a posse of ninjas to steal it.",90,Zhan long,tt1935787
942,No tiene datos,No tiene datos,Toto Natividad,Joyce JimenezGenta OgamiJeff Speakman,No tiene datos,No tiene datos,Bureizu obu za san,tt1964575
943,6.2,No tiene datos,Ryuta Tasaki,Toshiki Inoue,"Shouichi, Ryo, and Hikawa have to combat a new wave of Unknowns, but are faced with another threat in the form of G4, another Battle Suit designed to fight the Unknowns, but is potentially stronger and is on the wrong side.",70,Gekijôban kamen raidâ Agito: Purojekutô jî fô,tt1967539
944,3.8,No tiene datos,Surinder Kapoor,"Birbal, Hemant Birje, Dharmendra",This is a pure revenge story of a village girl who is gang raped in a car by local goons. She becomes a dacoit and takes revenge to her enemies.,No tiene datos,Zakhmi Sherni,tt2006319
945,No tiene datos,No tiene datos,William Hunt,"Ishrat Ali, Hemant Birje, Pinky Chinoy","2001 Indian Hindi film, directed by Willy Raja. The film stars Dharmendra, Poonam Dasgupta in lead roles.",97,Saugandh Geeta Ki,tt2006229
946,4.6,No tiene datos,Deepak Pawar,"Mithun Chakraborty, Manvi Goswami, Mohan Joshi","Krishna and Arjun are enemies because their bosses, and criminal bigwigs, are sworn enemies. Inspector Vijay tries to end this enmity because Krishna's sister and Arjun's brother are in love.",113,Bhagawat Ek Jung,tt2009434
947,No tiene datos,No tiene datos,Jino Kang,Joe SuttonJino Kang,No tiene datos,No tiene datos,Blade Warrior,tt2040293
948,4.2,No tiene datos,Aleksandr Sheyn Jr.,"Fuad Ibragimbekov, Mikhail Salov","Husband came home from hunting one day, but there ... There begins the film ""The Tap Mixer"". According to title it is boldly mixed genres and styles, so that nothing is not an exact science, does not fit into the usual scheme and can not be foreseen in advance. Everything is possible here. The recognized macho Gosha Kutsenko plays a man in love with the young photogra... Leer todo",90,Smesitel,tt2106707
949,6.1,No tiene datos,Sayedur Rahman Saeed,Mohammad Shahedur Rahman,No tiene argumento,156,Eri Naam Dosti,tt2171464
950,2.1,No tiene datos,Youssef Mansour,"Youssef Mansour, Engy, Lotfy Labib","As a famous singer comes to Egypt for a concert, the police are informed of an imminent assassination attempt on the singer's life as a way to sabotage tourism in Egypt.",No tiene datos,Badr,tt2190195
951,6.3,No tiene datos,Z.F. Skurcz,"Grzegorz Paraska, Bartosz Walaszek","Laszlo and Asparuch, two top Bulgarian spies, are assigned to recover microfilms containing information compromising their homeland and to liquidate other Bulgarian spies who decided to collaborate with western intelligence agencies.",50,Bulgarski Poscikk,tt2246609
952,7.0,No tiene datos,Gazi Jahangir,Mohammad Jashim Uddin,No tiene argumento,143,Mayer Samman,tt2268507
953,No tiene datos,No tiene datos,William Mayo,"Wilmer P. Cruz, Eddie Mayo",No tiene argumento,No tiene datos,Eksperto: Ako ang sasagupa!,tt2359023
954,8.5,No tiene datos,Ravinder Ravi,"Shama Kakad, Ravinder Ravi",No tiene argumento,157,Sikandera,tt2420776
955,4.3,No tiene datos,Sanju K. Gupta,Sanjay Sinha,A doctor gets killed while trying to save a dacoit's life. After this the dacoit decides to surrender to the police. His elder daughter Bindiya is given the duty to look after his sister Sapna. Mohan who helps them proposes marriage to Bindiya. But she refuses stating that she has her sister's responsibility. Bindiya gets raped by the village villain. To seek revenge ... Leer todo,115,Bindiya Mange Bandook,tt2422160
956,3.8,No tiene datos,Imran Khalid,"Ishrat Ali, Raj Babbar, Sudesh Berry",No tiene argumento,No tiene datos,Khatron Ke Khiladi,tt2437584
957,No tiene datos,No tiene datos,Santiago Manes Moreno,Santiago Manes Moreno,No tiene datos,91,Alfred Hitchcock's Gun,tt2487986
958,6.3,No tiene datos,Inayat Mahshar,Sheeba AgarwalRaj BabbarDharmendra,No tiene datos,No tiene datos,Ek Aur Jung,tt2499632
959,3.0,No tiene datos,Pappu Sharma,Rajni ChandraDharmendraBrij Gopal,No tiene datos,No tiene datos,Daku Bhairav Singh,tt2519208
960,8.6,No tiene datos,Jitendra Chawda,Bashir Babar,"Iqbal Loha, a Carlos-the-Jackal-like figure, is the most dangerous contract killer in the country. While carrying out one of his assassinations, his heart is touched when he finds the little daughter of his victim, left terrified and alone on the scene of the crime. In that moment, he decides to adopt this child and put aside his profession. This however upsets the pe... Leer todo",No tiene datos,Ek Lootera,tt2556000
961,5.9,No tiene datos,Satish Nagpure,Raghvendra Singh,Jaydev is a story of a honest citizen and his fight against the law and corrupt politicians. Jaydev is out to seek revenge for his brother who was eliminated due to the corrupt system.,No tiene datos,Jaydev,tt2567820
962,6.3,No tiene datos,Montazur Rahman Akbar,Montazur Rahman AkbarAbdullah Zahir Babu,No tiene datos,No tiene datos,Rongbaz Badsha,tt2582746
963,5.8,No tiene datos,Montazur Rahman Akbar,"Riaz, Keya, Razzak",No tiene argumento,No tiene datos,Kothin Bastob,tt2585806
964,6.2,No tiene datos,Montazur Rahman Akbar,Montazur Rahman Akbar,No tiene datos,No tiene datos,Chairman,tt2633806
965,7.9,No tiene datos,Gelu Radu,Francisc Nona,Drugs and crime somewhere in Romania.,94,Cartier,tt2644976
966,No tiene datos,No tiene datos,Teerat Singh,"Shakti Kapoor, Satnam Kaur, Kiran Kumar",No tiene argumento,No tiene datos,Shola Aur Barood,tt2666386
967,No tiene datos,No tiene datos,Hemant Birje,No tiene datos,No tiene datos,No tiene datos,Pratighaath,tt2666376
968,No tiene datos,No tiene datos,Sheetal Bedi,No tiene datos,No tiene argumento,No tiene datos,Main Jyoti Tu Jwala,tt2667342
969,No tiene datos,No tiene datos,Mehmood Ali,Ranjeet BediHemant BirjeAnu Kashyap,No tiene datos,No tiene datos,5 Rifles,tt2726820
970,No tiene datos,No tiene datos,Hemant Birje,No tiene datos,No tiene datos,No tiene datos,Sindoor Mange Khoon,tt2726772
971,7.1,No tiene datos,Kanti Shah,"Sapna Sappu, Amit Pachori, Vinod Tripathi",Una mujer poderosa que empuña una espada protege la jungla de aventureros sin escrúpulos.,113,Jungle Ki Sherni,tt2726796
972,5.4,No tiene datos,Kishan Shah,Anand Dehelvi,Un grupo de cazadores entra en un bosque peligroso para recuperar un tesoro escondido. Una dama de la jungla se enfrenta a ellos.,No tiene datos,Junglee Tarzan,tt2726810
973,No tiene datos,No tiene datos,K.I. Sheikh,Khalid Majid,No tiene argumento,130,Rupa Rani Ramkali,tt2739830
974,7.0,No tiene datos,P.A. Arun Prasad,"N. Prasanna Kumar, P.A. Arun Prasad","When a kickboxer gets attacked by his enemies and ends up bedridden, his brother sets out to fulfil his dream of winning the kickboxing championship.",160,Badri,tt2778674
975,7.7,No tiene datos,Om Prakash Rao,"Bala, R. Rajashekhar, M.S. Ramesh",A violent youngster and an innocent Brahmin girl fall in love. But tragedy intervenes when the youngster is brain-damaged following a fight.,178,Huccha,tt2914444
976,6.0,No tiene datos,Richard Greenberg,"Richard Greenberg, Wally Nichols","Un asesino estadounidense, que trabaja para cárteles en América Latina, está de regreso en Estados Unidos. Consigue una mujer antes de cada trabajo y la mata después. El FBI está sobre él, pero tiene curiosidad por su próximo gran trabajo.",88,Balas en el desierto,tt0167116
977,3.9,No tiene datos,Ron Underwood,Neil Cuthbert,"En el futuro, un hombre lucha por mantener su club nocturno lunar fuera del alcance de la mafia.",95,Pluto Nash,tt0180052
978,7.6,89,Steven Spielberg,Scott Frank,"En un futuro donde una unidad especial de la policía puede arrestar a asesinos antes de que cometan sus delitos, un oficial de esa unidad es acusado de un futuro asesinato.",145,Minority Report,tt0181689
979,6.7,57,Guillermo del Toro,Marv Wolfman,"Blade forma una incómoda alianza con el consejo de vampiros para combatir a los reapers, que se alimentan de vampiros.",117,Blade II,tt0187738
980,5.4,No tiene datos,K.C. Bascombe,K.C. Bascombe,"Cuatro ladrones intentan obtener el puntaje más rico de la historia en este thriller lleno de acción y crimen. Con Sherilyn Fenn (""Twin Peaks"").",93,The gang (Golpe perfecto),tt0190938
981,5.7,No tiene datos,John Bolton,John Bolton,No tiene datos,106,The Water Game,tt0207826
